Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Shipping Cost,Order Priority
ES-2011-4699764,14/03/2011,17/03/2011,Second Class,EB-14110,725.34,Critical
CA-2013-159016,11/03/2013,12/03/2013,First Class,KF-16285,714.66,High
IN-2012-44810,25/02/2012,25/02/2012,Same Day,BP-11230,704.08,Critical
US-2011-128776,28/12/2011,30/12/2011,Second Class,RR-19525,704.06,Critical
ES-2012-5870268,17/07/2012,19/07/2012,First Class,BS-11365,699.55,Critical
CA-2012-139731,15/10/2012,15/10/2012,Same Day,JE-15745,690.42,High
IN-2011-28087,03/11/2011,05/11/2011,Second Class,DP-13105,689.8,Critical
CA-2011-168494,12/12/2011,14/12/2011,Second Class,NP-18700,683.12,High
CG-2011-8610,14/09/2011,15/09/2011,First Class,AH-30,678.15,High
CA-2011-160766,14/09/2011,14/09/2011,Same Day,DM-13015,675.15,High
US-2014-168116,05/11/2014,05/11/2014,Same Day,GT-14635,674.82,High
ES-2014-2637201,14/01/2014,18/01/2014,Standard Class,PO-18865,668.96,High
IN-2011-61302,10/01/2011,11/01/2011,First Class,DL-12865,665.27,Medium
ID-2013-63976,22/08/2013,26/08/2013,Standard Class,JB-16000,660.87,High
IN-2014-37320,11/11/2014,15/11/2014,Standard Class,BF-11005,658.69,High
IN-2014-76016,26/09/2014,28/09/2014,Second Class,VG-21805,658.35,Medium
ES-2012-5877219,13/12/2012,17/12/2012,Standard Class,GT-14710,656.73,High
IT-2011-3183678,23/09/2011,25/09/2011,First Class,ZC-21910,655.91,Critical
CA-2011-116904,23/09/2011,28/09/2011,Standard Class,SC-20095,655.61,Medium
IT-2013-3085011,08/03/2013,08/03/2013,Same Day,EB-13840,652.98,Critical
IN-2014-50473,28/08/2014,29/08/2014,First Class,AP-10915,644.75,High
IN-2014-35983,01/05/2014,01/05/2014,Same Day,SW-20275,637.86,Critical
MX-2014-126984,18/12/2014,20/12/2014,Second Class,JH-15820,634.53,High
US-2012-163825,16/06/2012,19/06/2012,First Class,LC-16885,632.05,High
IR-2014-8540,18/09/2014,21/09/2014,First Class,TG-11640,630.97,Critical
US-2014-135013,25/07/2014,25/07/2014,Same Day,HR-14830,630.05,High
MZ-2013-3690,18/12/2013,18/12/2013,Same Day,DG-3300,627.17,High
IN-2012-66342,30/05/2012,31/05/2012,First Class,SG-20470,625.77,Critical
CA-2012-111829,19/03/2012,20/03/2012,First Class,FH-14365,617.92,High
IN-2012-48240,25/05/2012,28/05/2012,Second Class,GP-14740,616.27,Critical
IN-2014-61792,05/08/2014,06/08/2014,First Class,MW-18220,614.34,High
CA-2014-129021,24/08/2014,27/08/2014,Second Class,PO-18850,609.44,Medium
IN-2014-75470,11/03/2014,13/03/2014,Second Class,CS-12460,609.24,High
CA-2012-114811,08/11/2012,08/11/2012,Same Day,KD-16495,607.34,Medium
ES-2014-4673578,11/08/2014,16/08/2014,Second Class,MS-17980,604.4,Medium
IT-2013-3376681,31/08/2013,03/09/2013,First Class,KC-16675,600.21,Critical
IN-2014-66615,18/01/2014,23/01/2014,Standard Class,DB-13405,595.5,High
CA-2013-143805,02/12/2013,04/12/2013,Second Class,JD-15895,594.02,Critical
IT-2014-4540740,07/12/2014,08/12/2014,First Class,DK-13090,593.91,High
IN-2014-11231,16/12/2014,19/12/2014,First Class,CS-11845,592.77,Critical
MX-2014-154907,20/11/2014,20/11/2014,Same Day,EM-14200,592.73,Critical
UP-2011-8610,09/11/2011,11/11/2011,First Class,DW-3480,590.56,Critical
IN-2013-40050,07/06/2013,09/06/2013,First Class,AS-10225,589.36,High
MX-2011-110275,22/11/2011,23/11/2011,First Class,ST-20530,589.29,Medium
CG-2013-6110,29/03/2013,31/03/2013,Second Class,BW-1065,588.13,High
IN-2014-30110,26/08/2014,27/08/2014,First Class,LA-16780,586.57,High
ES-2012-2058076,20/09/2012,22/09/2012,Second Class,AB-10150,585.25,High
IN-2014-51950,16/05/2014,18/05/2014,Second Class,JH-15820,581.88,Critical
CA-2012-145352,16/03/2012,22/03/2012,Standard Class,CM-12385,581.12,Medium
ES-2013-4670866,24/11/2013,25/11/2013,First Class,BE-11410,580.98,Critical
IN-2011-62506,09/11/2011,11/11/2011,Second Class,SZ-20035,576.71,Medium
IN-2011-46413,28/10/2011,28/10/2011,Same Day,RM-19375,573.27,Critical
ES-2014-3785216,19/11/2014,23/11/2014,Standard Class,HG-14845,572.95,High
MO-2014-2000,28/10/2014,30/10/2014,Second Class,DP-3105,568.45,Medium
CA-2014-138289,17/01/2014,19/01/2014,Second Class,AR-10540,567.95,High
CA-2014-118892,18/08/2014,23/08/2014,Second Class,TP-21415,566.65,Medium
ES-2013-1434123,29/01/2013,05/02/2013,Standard Class,JB-16000,564.25,Low
ID-2012-78207,18/09/2012,21/09/2012,Second Class,AM-10705,562.14,Critical
MO-2013-8630,23/11/2013,23/11/2013,Same Day,AB-255,556.45,Medium
IN-2012-64774,13/06/2012,13/06/2012,Same Day,RP-19270,555.77,High
IN-2013-48765,28/10/2013,31/10/2013,First Class,BK-11260,553.31,Medium
IN-2013-69730,12/12/2013,14/12/2013,First Class,JM-15250,550.74,High
US-2013-102239,06/05/2013,07/05/2013,First Class,LW-16990,548.08,Critical
ES-2013-3467296,02/12/2013,02/12/2013,Same Day,NZ-18565,546.9,Critical
CA-2014-6550,23/12/2014,25/12/2014,Second Class,SV-10815,546.56,Critical
ID-2013-25742,28/01/2013,30/01/2013,First Class,SC-20695,546.49,High
IN-2012-86698,07/05/2012,07/05/2012,Same Day,NC-18625,545.89,High
ES-2013-2903666,27/11/2013,29/11/2013,First Class,NF-18385,541.59,High
IN-2012-30446,28/11/2012,02/12/2012,Second Class,NZ-18565,541.57,Medium
IT-2012-1779015,29/09/2012,29/09/2012,Same Day,PM-18940,540.77,Critical
ES-2013-3903130,03/09/2013,05/09/2013,Second Class,MZ-17335,539.94,High
CG-2013-3470,26/07/2013,01/08/2013,Standard Class,HM-4980,533.99,Low
IN-2014-13639,19/11/2014,25/11/2014,Standard Class,RW-19540,531.28,Low
ES-2012-2510515,19/06/2012,19/06/2012,Same Day,LH-17155,531.09,High
MX-2012-153157,11/10/2012,14/10/2012,First Class,FH-14365,530.49,Medium
ES-2011-2585328,09/08/2011,11/08/2011,First Class,KM-16660,527.87,Critical
ES-2011-4500805,05/11/2011,09/11/2011,Second Class,PO-18865,527.85,High
CA-2014-107174,07/11/2014,14/11/2014,Standard Class,AB-10060,524.76,Low
MX-2013-113824,26/04/2013,28/04/2013,First Class,AB-10060,523.47,High
IN-2013-45076,26/12/2013,26/12/2013,Same Day,DB-13060,522.79,High
IT-2013-5208514,13/03/2013,13/03/2013,Same Day,VM-21685,520.89,High
US-2013-107440,17/04/2013,21/04/2013,Standard Class,BS-11365,516.91,Medium
ES-2012-2314672,05/04/2012,05/04/2012,Same Day,DM-13525,516.63,High
ES-2012-4765389,26/12/2012,28/12/2012,Second Class,NM-18520,515.24,Critical
IN-2013-15368,18/04/2013,19/04/2013,First Class,LC-16885,511.47,Critical
IN-2011-18385,24/05/2011,26/05/2011,Second Class,RO-19780,510.72,High
CA-2012-149846,22/05/2012,26/05/2012,Standard Class,SB-20185,510.18,High
ES-2013-2757712,16/05/2013,20/05/2013,Second Class,EM-14065,506.89,High
CA-2011-106726,06/12/2011,08/12/2011,First Class,RS-19765,506.49,Critical
IT-2011-1978668,16/02/2011,19/02/2011,Second Class,ON-18715,506.27,Medium
IN-2013-63773,31/05/2013,02/06/2013,First Class,VS-21820,504.56,Critical
IN-2013-10965,01/10/2013,02/10/2013,First Class,CM-12115,499.62,High
CA-2011-145541,14/12/2011,21/12/2011,Standard Class,TB-21400,499.55,Medium
CA-2013-117121,18/12/2013,22/12/2013,Standard Class,AB-10105,498.7,Medium
ID-2013-79432,11/12/2013,14/12/2013,Second Class,JK-15325,498.62,Critical
IT-2014-4499061,18/03/2014,21/03/2014,Second Class,RP-19270,498.52,Critical
IN-2014-34226,19/12/2014,20/12/2014,First Class,DW-13540,498.38,Critical
CA-2011-136567,20/12/2011,21/12/2011,First Class,PS-19045,498.14,High
CA-2013-143714,24/05/2013,28/05/2013,Standard Class,CC-12370,498.08,Medium
CA-2011-151330,14/10/2011,17/10/2011,First Class,TC-21295,496.46,Critical
MX-2014-158386,18/09/2014,18/09/2014,Same Day,GM-14440,493.41,Critical
IN-2013-30663,25/11/2013,27/11/2013,First Class,SV-20815,493.2,Critical
IN-2013-77444,07/11/2013,10/11/2013,First Class,MM-17920,492.79,Critical
IN-2014-39077,19/07/2014,23/07/2014,Standard Class,JK-16120,492.28,High
ID-2012-60980,16/08/2012,16/08/2012,Same Day,EM-14200,491.91,High
CA-2013-128594,27/08/2013,30/08/2013,First Class,DJ-13510,489.6,Critical
IN-2012-57025,11/01/2012,15/01/2012,Standard Class,PM-18940,487.86,High
MX-2013-157868,28/01/2013,30/01/2013,First Class,AT-10435,487.48,Medium
ID-2012-66111,14/06/2012,17/06/2012,First Class,AB-10015,487.32,Critical
CA-2011-120474,01/12/2011,03/12/2011,First Class,RP-19390,487.15,High
CA-2013-100300,25/06/2013,27/06/2013,Second Class,MJ-17740,485.47,High
MX-2012-164791,06/12/2012,08/12/2012,First Class,PV-18985,483.26,High
IT-2013-1350483,05/09/2013,07/09/2013,Second Class,SB-20290,483.04,High
SO-2014-4990,18/09/2014,20/09/2014,First Class,SM-10005,481.04,High
CA-2014-149559,12/09/2014,13/09/2014,Same Day,KF-16285,480.56,Critical
IN-2012-30943,03/08/2012,08/08/2012,Standard Class,KH-16330,479.96,High
IN-2014-13324,09/12/2014,11/12/2014,First Class,MP-18175,479.94,High
IN-2012-46889,25/10/2012,28/10/2012,First Class,LH-17020,479.67,Critical
CA-2012-114069,13/07/2012,15/07/2012,Second Class,ND-18370,477.15,Critical
ID-2013-35640,27/08/2013,29/08/2013,Second Class,CR-12625,475.34,High
IN-2011-30292,13/05/2011,17/05/2011,Standard Class,NC-18625,474.44,High
IT-2011-3675195,03/11/2011,06/11/2011,First Class,GM-14680,473.27,High
ES-2014-2034971,02/08/2014,03/08/2014,First Class,RA-19945,472,Critical
ES-2011-1426891,20/09/2011,22/09/2011,Second Class,DB-13060,471.92,Critical
CA-2014-159366,08/01/2014,11/01/2014,First Class,BW-11110,471.22,Medium
IN-2013-14773,11/03/2013,15/03/2013,Standard Class,RF-19735,470.29,High
ES-2012-4934238,02/02/2012,05/02/2012,First Class,JH-15820,469.29,High
CA-2013-108987,09/09/2013,11/09/2013,Second Class,AG-10675,469.16,Critical
MX-2014-111941,09/04/2014,13/04/2014,Standard Class,DM-12955,466.7,High
US-2013-143819,02/03/2013,06/03/2013,Standard Class,KD-16270,466.33,Medium
MX-2014-152961,19/03/2014,21/03/2014,First Class,BE-11335,465.92,High
IN-2013-17041,02/10/2013,04/10/2013,First Class,SO-20335,465.63,High
ES-2013-4679331,12/01/2013,15/01/2013,First Class,DK-12835,465.02,Medium
SA-2014-1270,20/08/2014,25/08/2014,Standard Class,LC-7050,463.98,Medium
IN-2014-12897,14/03/2014,18/03/2014,Standard Class,CG-12520,458.54,High
CA-2013-134887,26/03/2013,26/03/2013,Same Day,TB-21280,457.14,Critical
ID-2014-10076,09/07/2014,13/07/2014,Standard Class,HG-15025,456.32,High
ID-2013-70122,11/06/2013,15/06/2013,Standard Class,AD-10180,455.71,High
ES-2011-2257437,10/08/2011,17/08/2011,Standard Class,BP-11155,454.81,Medium
ID-2014-63920,17/03/2014,21/03/2014,Standard Class,AA-10480,452.6,High
ID-2013-29564,02/01/2013,03/01/2013,First Class,RL-19615,452.28,Medium
CA-2013-108196,26/11/2013,03/12/2013,Standard Class,CS-12505,451.63,Low
ID-2012-36403,10/10/2012,11/10/2012,First Class,SW-20245,451.03,High
CA-2014-127180,23/10/2014,25/10/2014,First Class,TA-21385,449.45,High
IN-2011-19351,17/06/2011,19/06/2011,First Class,BW-11110,449.18,High
ES-2014-5842530,03/04/2014,05/04/2014,First Class,YC-21895,448.91,High
MX-2011-137897,17/05/2011,20/05/2011,Second Class,JM-15580,447.66,High
BO-2014-8960,11/02/2014,15/02/2014,Second Class,MZ-7335,446.33,High
ES-2013-2220066,12/10/2013,12/10/2013,Same Day,JF-15295,443.92,Critical
CA-2011-127299,19/09/2011,24/09/2011,Standard Class,JL-15835,443.69,High
UP-2014-4500,17/07/2014,19/07/2014,Second Class,DJ-3510,443.55,Critical
ES-2014-2440513,22/11/2014,28/11/2014,Standard Class,MF-18250,442.49,Low
IT-2011-5629016,30/05/2011,02/06/2011,First Class,TC-21295,440.25,Critical
CA-2014-133263,01/04/2014,03/04/2014,Second Class,JE-15610,439.69,High
IN-2014-65488,17/07/2014,20/07/2014,First Class,CP-12340,439.65,Medium
ES-2014-5530354,29/08/2014,03/09/2014,Standard Class,EH-14125,439.41,Medium
IN-2012-23782,26/12/2012,26/12/2012,Same Day,NC-18340,439.03,Critical
ID-2013-31720,01/05/2013,04/05/2013,Second Class,JS-16030,437.85,Critical
ES-2011-1712442,16/08/2011,21/08/2011,Standard Class,AM-10360,433.41,Medium
IN-2014-78900,03/12/2014,07/12/2014,Standard Class,JF-15190,432.57,High
IN-2013-37803,25/06/2013,29/06/2013,Standard Class,AB-10015,432.15,High
ES-2013-3939561,21/01/2013,24/01/2013,Second Class,JG-15160,432.13,Medium
CA-2013-138478,22/10/2013,27/10/2013,Second Class,DP-13390,431.68,Medium
IN-2014-56808,12/07/2014,14/07/2014,Second Class,AG-10330,430.04,Critical
US-2013-116729,26/12/2013,29/12/2013,First Class,GK-14620,429.66,Medium
ES-2014-1972860,01/09/2014,01/09/2014,Same Day,NF-18475,428.83,Critical
CA-2011-119375,17/11/2011,22/11/2011,Standard Class,YC-21895,428.8,High
IN-2011-64326,07/06/2011,11/06/2011,Second Class,DR-12940,427.46,Medium
ES-2011-3259196,13/10/2011,13/10/2011,Same Day,NB-18655,427.24,Critical
IN-2013-48184,10/06/2013,10/06/2013,Same Day,NM-18445,427.1,Critical
IN-2014-77017,13/12/2014,17/12/2014,Standard Class,TA-21385,426.09,Medium
CA-2014-150091,13/10/2014,17/10/2014,Standard Class,NP-18670,426.05,High
ID-2014-31363,10/06/2014,11/06/2014,First Class,SC-20380,424.81,High
SF-2011-6380,15/02/2011,16/02/2011,First Class,PA-9060,422.25,Critical
ES-2013-1692384,28/11/2013,04/12/2013,Standard Class,RB-19570,419.38,Low
CA-2014-165323,18/06/2014,22/06/2014,Standard Class,SR-20740,419.06,High
CA-2013-168354,20/09/2013,22/09/2013,First Class,RH-19510,418.26,High
US-2011-158554,09/08/2011,09/08/2011,Same Day,LH-16750,417.99,High
CA-2011-141796,21/06/2011,21/06/2011,Same Day,JG-15160,417.47,Critical
IN-2012-12162,02/08/2012,04/08/2012,First Class,KB-16585,416.74,High
CA-2012-113404,16/07/2012,16/07/2012,Same Day,EM-13810,415.69,Critical
IR-2013-8520,02/08/2013,02/08/2013,Same Day,MZ-7515,415.01,Critical
IN-2014-68463,22/05/2014,25/05/2014,Second Class,DM-13345,413.95,Critical
ID-2011-64599,10/02/2011,15/02/2011,Standard Class,CA-11965,413.8,Medium
ES-2013-4632541,27/09/2013,27/09/2013,Same Day,SC-20305,411.64,Critical
IN-2014-23761,02/06/2014,04/06/2014,First Class,MH-18115,411.06,Critical
IN-2013-16964,30/09/2013,03/10/2013,First Class,KS-16300,410.88,Critical
IN-2011-76989,19/07/2011,20/07/2011,First Class,BG-11740,410.22,High
RS-2014-4620,14/08/2014,16/08/2014,Second Class,CR-2625,410.05,Medium
CA-2013-147417,26/07/2013,28/07/2013,First Class,CB-12415,408.79,Critical
IN-2014-61393,31/10/2014,03/11/2014,First Class,DK-13090,406.53,High
IN-2013-13891,25/07/2013,30/07/2013,Standard Class,JL-15835,404.97,Medium
IN-2014-32770,07/10/2014,11/10/2014,Standard Class,AP-10720,404.08,High
IN-2014-14780,17/10/2014,21/10/2014,Standard Class,CR-12820,403.97,High
IN-2013-71585,03/12/2013,06/12/2013,Second Class,BF-11080,403.46,Critical
IN-2014-20485,08/11/2014,10/11/2014,First Class,JM-15265,403.26,High
IT-2011-4771701,21/09/2011,23/09/2011,Second Class,TW-21025,401.25,Critical
IT-2011-2876489,21/06/2011,24/06/2011,First Class,RB-19330,401.13,High
CA-2014-133865,09/05/2014,13/05/2014,Standard Class,PS-19045,400.6,High
CA-2014-158379,23/09/2014,27/09/2014,Second Class,JA-15970,400.04,Medium
SF-2014-2330,26/11/2014,29/11/2014,Second Class,AB-60,400.03,Critical
EG-2012-4640,30/03/2012,01/04/2012,First Class,JR-5670,399.96,Critical
MX-2011-138002,10/11/2011,15/11/2011,Second Class,MD-17350,399.85,Medium
US-2014-102183,22/08/2014,29/08/2014,Standard Class,PK-19075,398.64,Medium
ES-2012-5113958,01/08/2012,06/08/2012,Second Class,EB-13840,398.5,Medium
CA-2014-120376,23/12/2014,26/12/2014,First Class,TP-21130,397.52,High
CA-2014-168109,04/07/2014,04/07/2014,Same Day,JK-15640,396.92,High
CA-2014-111556,21/11/2014,23/11/2014,First Class,CD-11920,394.57,Critical
AJ-2013-2640,23/01/2013,27/01/2013,Standard Class,JL-5835,393.62,High
IN-2011-67651,21/05/2011,25/05/2011,Second Class,EP-13915,393.58,High
ES-2014-4957212,28/09/2014,01/10/2014,First Class,MS-17770,393.46,High
IT-2011-3528798,06/11/2011,08/11/2011,First Class,CM-12655,390.2,Critical
LH-2014-5390,28/01/2014,30/01/2014,Second Class,JC-6105,390.09,High
IN-2014-32588,13/09/2014,19/09/2014,Standard Class,GB-14530,386.38,Medium
CA-2012-137113,01/12/2012,05/12/2012,Second Class,TW-21025,386.21,High
US-2011-161760,22/12/2011,24/12/2011,First Class,JH-16180,386,High
EG-2013-4530,05/02/2013,07/02/2013,Second Class,MT-8070,384.41,Critical
IN-2011-51964,28/12/2011,29/12/2011,First Class,AB-10105,383.68,Critical
CA-2013-122903,28/05/2013,30/05/2013,Second Class,LA-16780,383.35,High
LT-2011-270,27/04/2011,30/04/2011,First Class,CV-2805,383.01,High
IN-2011-86278,06/10/2011,11/10/2011,Standard Class,NH-18610,382.77,High
ID-2013-17055,24/08/2013,26/08/2013,Second Class,HJ-14875,382.1,Critical
MX-2013-151764,21/09/2013,24/09/2013,Second Class,JL-15175,381.22,Critical
MX-2014-124744,17/12/2014,19/12/2014,First Class,MY-18295,381.14,Critical
US-2011-106992,19/09/2011,21/09/2011,Second Class,SB-20290,380.77,Medium
CA-2011-117639,21/05/2011,25/05/2011,Standard Class,MW-18235,378.83,High
MX-2014-140305,03/06/2014,07/06/2014,Standard Class,KC-16540,378.26,High
MX-2014-113845,12/09/2014,14/09/2014,First Class,CS-12460,377.7,Critical
IN-2014-61932,17/04/2014,17/04/2014,Same Day,HA-14920,377.58,Critical
ES-2012-4589770,21/11/2012,24/11/2012,Second Class,MT-17815,377.03,Critical
ES-2014-1331794,06/03/2014,08/03/2014,First Class,FW-14395,376.88,Critical
ES-2012-4621754,23/07/2012,28/07/2012,Standard Class,BH-11710,376.58,High
ID-2014-41191,07/11/2014,09/11/2014,First Class,DK-12895,374.8,High
MX-2014-128405,22/11/2014,24/11/2014,First Class,KD-16270,374.38,Critical
ES-2011-1858721,11/06/2011,14/06/2011,First Class,SC-20845,372.5,High
MX-2012-168865,14/09/2012,19/09/2012,Standard Class,CY-12745,372.32,High
IN-2011-52279,25/11/2011,25/11/2011,Same Day,HL-15040,371.74,Critical
IN-2012-14724,10/08/2012,12/08/2012,First Class,CT-11995,371.51,High
ES-2013-3042991,20/03/2013,23/03/2013,Second Class,CC-12370,369.98,High
LT-2013-3900,30/12/2013,04/01/2014,Standard Class,GR-4560,369.73,Medium
IN-2012-18518,04/10/2012,09/10/2012,Standard Class,TT-21070,369.4,High
IT-2012-4058325,06/08/2012,07/08/2012,First Class,PO-19195,369.17,Critical
IN-2012-42220,02/10/2012,02/10/2012,Same Day,ED-13885,368.44,High
IN-2014-17972,26/03/2014,29/03/2014,First Class,AP-10915,367.57,Critical
MX-2014-151554,21/11/2014,21/11/2014,Same Day,TM-21490,367.55,High
IT-2011-3270900,30/11/2011,01/12/2011,First Class,AW-10840,367.35,Critical
CA-2012-123113,23/11/2012,27/11/2012,Second Class,AT-10735,366.72,Medium
RO-2012-9480,06/12/2012,06/12/2012,Same Day,SG-10605,366.58,High
MX-2013-109981,03/12/2013,04/12/2013,First Class,BM-11785,365.9,High
MX-2012-130351,20/12/2012,24/12/2012,Standard Class,FH-14365,365.65,High
MX-2012-135076,13/09/2012,15/09/2012,Second Class,DK-13375,365.2,Medium
CA-2013-114972,04/11/2013,07/11/2013,First Class,PF-19225,364.76,Critical
CA-2013-146633,16/11/2013,18/11/2013,Second Class,TG-21310,363.87,Critical
CA-2013-110499,08/04/2013,10/04/2013,First Class,YC-21895,363.78,High
TU-2012-2690,23/05/2012,26/05/2012,First Class,SF-10200,363.73,High
CA-2014-166709,18/11/2014,23/11/2014,Standard Class,HL-15040,363.19,Medium
SG-2014-9460,14/04/2014,17/04/2014,Second Class,JW-5220,363.16,Medium
MX-2014-164217,29/08/2014,02/09/2014,Standard Class,CC-12100,363.1,High
ID-2014-80657,16/05/2014,18/05/2014,Second Class,RD-19930,360.04,High
CM-2012-6440,13/12/2012,15/12/2012,First Class,BP-1230,359.58,Critical
ES-2011-5287434,31/03/2011,04/04/2011,Standard Class,SA-20830,359.28,High
IN-2012-79439,04/02/2012,08/02/2012,Second Class,EM-13810,359.27,Medium
IN-2013-58929,29/05/2013,01/06/2013,Second Class,CS-12175,359.09,Medium
IT-2012-2646674,29/08/2012,01/09/2012,First Class,JD-16060,358.96,Critical
IN-2011-63577,15/06/2011,17/06/2011,First Class,GH-14665,358.85,Critical
IN-2014-16068,28/08/2014,31/08/2014,First Class,CM-11935,358.51,Medium
MX-2011-150973,27/10/2011,28/10/2011,First Class,JB-16000,358.18,Critical
RS-2014-4120,19/03/2014,23/03/2014,Second Class,RB-9465,357.89,Medium
MX-2014-154935,11/09/2014,18/09/2014,Standard Class,RB-19795,357.79,Low
ID-2012-83604,28/08/2012,28/08/2012,Same Day,PO-19195,357.21,Critical
US-2014-117723,16/08/2014,19/08/2014,Second Class,DL-13495,356.88,High
IN-2013-81112,01/08/2013,04/08/2013,Second Class,TS-21205,356.84,Critical
CA-2013-147368,10/06/2013,13/06/2013,First Class,TC-21295,356.68,Critical
SF-2014-3560,24/12/2014,27/12/2014,First Class,MV-8190,355.92,Medium
CA-2012-147830,15/12/2012,18/12/2012,First Class,NF-18385,355.61,High
ES-2012-1439357,23/02/2012,26/02/2012,First Class,BD-11560,355.06,High
IN-2014-16054,11/10/2014,13/10/2014,Second Class,PS-18760,354.47,Critical
US-2014-148817,21/04/2014,23/04/2014,Second Class,FM-14215,354.42,Critical
IN-2013-50809,12/06/2013,17/06/2013,Standard Class,CA-12775,353.85,Medium
ES-2013-1211534,17/09/2013,20/09/2013,First Class,CD-12790,353.57,High
IN-2014-81154,19/09/2014,19/09/2014,Same Day,NL-18310,353.42,Critical
IT-2014-2009199,26/11/2014,03/12/2014,Standard Class,TB-21055,353.04,Medium
IN-2014-51432,20/06/2014,26/06/2014,Standard Class,KD-16495,352.64,Low
HU-2014-7310,23/10/2014,25/10/2014,First Class,EH-4125,352.52,High
IN-2011-26176,16/08/2011,20/08/2011,Standard Class,KB-16600,351.08,Medium
CA-2012-102491,24/08/2012,28/08/2012,Standard Class,KW-16435,351.01,High
ES-2014-5345830,14/01/2014,16/01/2014,First Class,MG-17695,350.68,High
ID-2014-58271,13/11/2014,15/11/2014,Second Class,VF-21715,350.68,Critical
ID-2013-57949,13/06/2013,13/06/2013,Same Day,AM-10705,350.31,High
US-2012-128587,24/12/2012,30/12/2012,Standard Class,HM-14860,350.09,Medium
IN-2014-68750,22/09/2014,25/09/2014,Second Class,BP-11290,349.88,Critical
AO-2011-1670,08/01/2011,13/01/2011,Standard Class,HZ-4950,349.87,High
CA-2013-118689,03/10/2013,10/10/2013,Standard Class,TC-20980,349.07,Medium
IN-2013-42535,30/07/2013,30/07/2013,Same Day,EM-13825,348.48,Critical
IN-2014-27947,30/04/2014,04/05/2014,Standard Class,BS-11800,348.08,Medium
MX-2011-158204,28/09/2011,30/09/2011,Second Class,DV-13465,347.82,High
IN-2014-56206,24/06/2014,28/06/2014,Standard Class,MB-17305,346.6,Medium
IT-2011-3316894,06/04/2011,08/04/2011,First Class,PC-19000,345.81,High
IT-2014-2819680,07/08/2014,09/08/2014,Second Class,CA-12310,345.78,Critical
US-2013-138408,19/11/2013,22/11/2013,Second Class,KC-16255,345.77,Critical
ES-2014-2179863,14/02/2014,16/02/2014,First Class,MB-18085,344.98,Critical
US-2014-110576,29/11/2014,03/12/2014,Standard Class,RB-19795,344.98,High
RO-2012-8470,17/08/2012,19/08/2012,Second Class,DB-3660,344.5,Critical
CA-2012-111514,31/08/2012,02/09/2012,First Class,SC-20260,343.97,High
MX-2012-157987,07/08/2012,08/08/2012,First Class,BG-11740,343.81,High
US-2014-105935,27/01/2014,01/02/2014,Standard Class,BD-11500,343.25,High
CA-2011-139892,08/09/2011,12/09/2011,Standard Class,BM-11140,342.11,Medium
IN-2012-45825,09/08/2012,11/08/2012,First Class,KB-16315,340.09,Critical
ID-2013-58642,21/02/2013,22/02/2013,First Class,PK-19075,339.47,High
ID-2012-65411,18/07/2012,19/07/2012,First Class,CS-12175,339.06,High
CA-2011-144624,19/11/2011,23/11/2011,Standard Class,JM-15865,338.56,High
